model,phase,total_samples,avg_inference_time_ms,median_inference_time_ms,min_inference_time_ms,max_inference_time_ms,error_count,error_rate,avg_tokens,total_tokens,predictions_count,prediction_rate
azure_intelligence,phase_1,238,3769.092818268207,2717.632532119751,2549.107074737549,13152.332067489624,0,0.0,,0.0,238,100.0
mistral_document_ai,phase_1,238,4033.1475494288597,3572.515368461609,2428.0943870544434,11537.039041519163,0,0.0,,0.0,238,100.0
gpt-5-mini,phase_2,238,27734.907119214033,26573.354363441467,13972.76210784912,55791.16082191467,0,0.0,,0.0,238,100.0
gpt-5-nano,phase_2,238,25104.42959160364,24723.371505737305,18330.0142288208,40277.68015861511,0,0.0,,0.0,62,26.05042016806723
gpt-5-mini,phase_3a,238,30629.105389619075,29780.361890792847,17136.318922042847,76212.95619010925,0,0.0,,0.0,233,97.89915966386555
gpt-5-nano,phase_3a,238,30714.520058712038,27818.67003440857,15046.048164367676,59817.420959472656,0,0.0,,0.0,60,25.210084033613445
gpt-5-mini,phase_4,238,30418.92188937724,28824.83959197998,14701.890230178831,61664.9968624115,0,0.0,,0.0,238,100.0
gpt-5-nano,phase_4,238,32918.14620154245,27731.172680854797,15329.298973083496,283053.4477233887,0,0.0,,0.0,75,31.512605042016805
