model,phase,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,std_time_ms
azure_intelligence,Phase 1 (OCR),3412.869436264038,2713.329553604126,1549.4167804718018,11686.474084854126,1429.6050262610881
mistral_document_ai,Phase 1 (OCR),2914.1695523262024,2762.454032897949,1502.8371810913086,12372.42579460144,1300.4302795998465
gpt-5-mini,Phase 2 (VLM),12329.613756656647,11440.10055065155,6282.562017440796,44320.35303115845,4403.584617886165
gpt-5-nano,Phase 2 (VLM),20291.96797323227,18840.046644210815,8569.945812225342,624491.1322593689,27707.145109991205
gpt-5-mini,Phase 3 (VLM+),15172.001220703125,13415.407061576843,7353.256940841675,70481.4043045044,6647.7558401057195
gpt-5-nano,Phase 3 (VLM+),30981.795630931854,22522.890090942383,8756.330013275146,4388679.775953293,195378.0735184997
