model,phase,total_samples,avg_prediction_time_ms,median_prediction_time_ms,min_prediction_time_ms,max_prediction_time_ms,avg_ground_truth_time_ms,prediction_error_count,prediction_error_rate,ground_truth_error_count,avg_tokens,total_tokens,predictions_count,prediction_rate
gpt-5-mini,phase_3,500,15172.001220703125,13415.407061576843,7353.256940841675,70481.4043045044,7367.6029052734375,0,0.0,0,,0.0,498,99.6
gpt-5-nano,phase_3,500,30981.795630931854,22522.890090942383,8756.330013275146,4388679.775953293,9313.570643424988,1,0.2,0,,0.0,387,77.4
