model,phase,total_samples,avg_prediction_time_ms,median_prediction_time_ms,min_prediction_time_ms,max_prediction_time_ms,avg_ground_truth_time_ms,prediction_error_count,prediction_error_rate,ground_truth_error_count,avg_tokens,total_tokens,predictions_count,prediction_rate
azure_intelligence,phase_1,500,3412.869436264038,2713.329553604126,1549.4167804718018,11686.474084854126,3105.829107284546,0,0.0,0,,0.0,500,100.0
mistral_document_ai,phase_1,500,2914.1695523262024,2762.454032897949,1502.8371810913086,12372.42579460144,1892.5268096923828,0,0.0,0,,0.0,500,100.0
gpt-5-mini,phase_2,500,12329.613756656647,11440.10055065155,6282.562017440796,44320.35303115845,6785.945540904999,0,0.0,0,,0.0,498,99.6
gpt-5-nano,phase_2,500,20291.96797323227,18840.046644210815,8569.945812225342,624491.1322593689,8837.456887722015,0,0.0,0,,0.0,429,85.8
gpt-5-mini,phase_3,500,15172.001220703125,13415.407061576843,7353.256940841675,70481.4043045044,7367.6029052734375,0,0.0,0,,0.0,498,99.6
gpt-5-nano,phase_3,500,30981.795630931854,22522.890090942383,8756.330013275146,4388679.775953293,9313.570643424988,1,0.2,0,,0.0,387,77.4
